Course Name,Course Title,Credits,Description,Prerequisite,Concurrent,Attributes
MATH 3,Basic Skills,3 Credits,"Natural numbers; integers; rational numbers; decimals; ratio, proportion; percent; graphs; applications.  Students who have passed MATH 001 may not schedule this course for credit.  This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.",Satisfactory performance on the mathematics placement examination.,,
MATH 4,Intermediate Algebra,3 Credits,"Algebraic expressions; linear, absolute value equations and inequalities; lines; systems of linear equations; integral exponents; polynomials; factoring. This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.",MATH 3or satisfactory performance on the mathematics placement examination.,,
MATH 10,Preparation Skills for Success in Mathematics,1 Credits/Maximum of 4,A foundation course that emphasizes study skills and reviews basic mathematical principles.,math 003-201,,
MATH 21,College Algebra with Analytic Geometry with Applications I,3 Credits,This course satisfies the General Education Qualification. Topics covered include visualizing and graphing data; evaluating the average rate of change; solving linear equations and inequalities; solving linear absolute value equations and inequalities; modeling with linear functions and discussion of interpolation; solving quadratic equations using different solution methods; solving quadratic inequalities; modeling with quadratic functions.,MATH 4or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 22,College Algebra With Analytic Geometry and Applications II,3 Credits,This course covers topics that include functions and their representations; distinguishing between types of functions; evaluating the average rate of change; factoring polynomials of general degree; solving polynomial inequalities; solving rational equations and inequalities; solving radical equations; modeling with polynomial and rational functions; finding and interpreting the meaning of inverse functions; solving exponential and logarithmic equations; modeling with exponential and logarithmic functions.,MATH 21or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 26,Plane Trigonometry and Applications of Trigonometry,3 Credits,This course satisfies the General Education Qualification. Topics covered include angles and their measures; right triangle trigonometry; all six trigonometric functions and their representations; angle addition/subtraction and double angle identities; modeling with sine and cosine; applications of trigonometric functions; simple harmonic motions and other applications of trigonometric functions; inverse trigonometric functions; solving trigonometric equations; verifying identities; law of sines and law of cosines; vectors; polar equations; trigonometric form of complex numbers; other related topics as time permits.,MATH 21or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 30,Problem Solving,3 Credits,Concepts in problem solving; reducing new problems to old ones; techniques for attacking problems; building mathematical models.,Bachelor of Arts: Quantification,,
MATH 31,Mathematics of Music,3 Credits,"This course is intended to explore the connections between mathematics and music. Topics include elementary combinatorics, trigonometry, group theory, probability and game theory, and how these mathematical principles can help us understand rhythm, melody, harmony, pitch, and composition. This is an applied mathematics course using music as the context, and is intended for any student who is interested in learning about how these two fields interact. No prior knowledge of mathematics or music is required; however, some knowledge of algebra and trigonometry, and basic understanding of musical notation, may be beneficial.",General Education: Quantification (GQ),,Quantification (GQ)
MATH 32,Math for Allied Health Professions,3 Credits,"This course is intended to build the specific quantitative reasoning skills needed by workers in Allied Health Professions, such as nurses or therapists. Students will become fluent in proportional reasoning in a variety of contexts, including unit conversion, drug dosage calculations, probability, and logarithmic scales. Students gain the tools to communicate and reason about covariation in scenarios such as exponential growth and decay. Student will also apply tools of probability and descriptive statistics to gain literacy in risk and uncertainty in health settings, such as making sense of effect sizes in research literature.",MATH 4or satisfactory performance on the math placement exam,,Quantification (GQ)
MATH 33,Mathematics for Sustainability,3 Credits,"Mathematical analysis of sustainability: measurement, flows, networks, rates of change, uncertainty and risk, applying analysis in decision making; using quantitative evidence to support arguments; examples. MATH 033 Mathematics for Sustainability (3) (GQ) This course is one of several offered by the mathematics department with the goal of helping students from non-technical majors partially satisfy their general education quantification requirement. It is designed to provide an introduction to various mathematical modeling techniques, with an emphasis on examples related to environmental and economic sustainability. The course may be used to fulfill three credits of the GQ requirement for some majors, but it does not serve as a prerequisite for any mathematics courses and should be treated as a terminal course. The course provides students with the mathematical background and quantitative reasoning skills necessary to engage as informed citizens in discussions of sustainability related to climate change, resources, pollution, recycling, economic change, and similar matters of public interest. Students apply these skills through writing projects that require quantitative evidence to support an argument. The mathematical content of the course spans six key areas: ""measuring"" (representing information by numbers, problems of measurement, units, estimation skills); ""flowing"" (building and analyzing stock-flow models, calculations using units of energy and power, dynamic equilibria in stock-flow systems, the energy balance of the earth-sun system and the greenhouse effect); ""connecting"" (networks, the bystander effect, feedbacks in stock-flow models); ""changing"" (out-of-equilibrium stock-flow systems, exponential models, stability of equilibria in stock-flow systems, sensitivity of equilibria to changes in a parameter, tipping points in stock-flow models); ""risking"" (probability, expectation, bayesian inference, risk vs uncertainty; ""deciding"" (discounting, uses and limitations of cost-benefit analysis, introduction to game theory and the tragedy of the commons, market-based mechanisms for pollution abatement, ethical considerations).",RECOMMENDED PREPARATIONS:ENGL 15,,Quantification (GQ)
MATH 34,The Mathematics of Money,3 Credits,"This course will provide students with the mathematical background and quantitative skills needed to make sound financial decisions. This course introduces personal finance topics including simple interest, simple discount, compound interest, annuities, investments, retirement plans, inflation, depreciation, taxes, credit cards, mortgages, and car leasing. Students will learn how to use linear equations, exponential and logarithmic equations, and arithmetic and geometric sequences to solve real world financial problems. Students will answer questions such as, What is the most they can afford to pay for a car? How much do they need to invest in their 401(k) account each month to retire comfortably? What credit card is the best option? In a society where consumers are presented with a vast array of financial products and providers, students are enabled to evaluate options and make informed, strategic decisions. This course may be used by students from non-technical majors to satisfy 3 credits of their General Education Quantification (GQ) requirement. This course does not serve as a prerequisite for any mathematics courses and should be treated as a terminal course.",MATH 4or satisfactory performance on the mathematics placement exam,,Quantification (GQ)
MATH 35,General View of Mathematics,3 Credits,"This course presents a general view of a number of mathematical topics to a non-technical audience, often relating the mathematical topics to a historical context, and providing students with an opportunity to engage with the mathematics at an introductory level. Although some variation in topics covered may take place among different instructors at different campuses, an example of such a course focuses on a number theory theme throughout the course, beginning with the Greeks' view of integers, the concept of divisors, the calculation of greatest common divisors (which originates with Euclid), the significance of the prime numbers, the infinitude of the set of prime numbers (also known to the ancient Greeks), work on perfect numbers (which continues to be a topic of research today), and the work of Pythagoras and his famous Theorem. The course then transitions to the work of European mathematicians such as Euler and Gauss, including work on sums of two squares (which generalizes the Pythagorean Theorem), and then considering Euler's phi function, congruences, and applications to cryptography.",Bachelor of Arts: Quantification,,Quantification (GQ)
MATH 36,Insights Into Mathematics,3 Credits,"This course will provide students the mathematical background and quantitative skills in various mathematical applications in such areas which are related to voting, fair divisions which includes apportionment methods, and the understanding and application of basic graph theory such as Euler and Hamilton circuits. This course may be used by students from non-technical majors to satisfy 3 credits of their General Education Quantification (GQ) requirement. This course does not serve as a prerequisite for any mathematics courses and should be treated as a terminal course.",Prerequisite:one unit of algebra or MATH 004,,Quantification (GQ)
MATH 37,Finite Mathematics,3 Credits,"Finite math includes topics of mathematics which deal with finite sets. Sets and formal logic are modern concepts created by mathematicians in the mid 19th and early 20th centuries to provide a foundation for mathematical reasoning. Sets and formal logic have lead to profound mathematical discoveries and have helped to create the field of computer science in the 20th century. Today, sets and formal logic are taught as core concepts upon which all mathematics can be built. In this course, students learn the elementary mathematics of logic and sets. Logic is the symbolic, algebraic way of representing and analyzing statements and sentences. While students will get just a brief introduction to logic, the mathematics used in logic are found at the heart of computer programming and in designing electrical circuits. Problems of counting various kinds of sets lead to the study of combinatorics, the art of advanced counting. For example, if a room has twenty chairs and twelve people, in how many ways can these people occupy the chairs? And are you accounting for differences in who sits in particular chairs, or does it only matter whether a chair has a body in it? These kinds of counting problems are the basis for probability. In order to calculate the chance of a particular event occurring you must be able to count all the possible outcomes.MATH 37is intended for students seeking core knowledge in combinatorics, probability and mathematical logic but not requiring further course work in mathematics. Students entering the class will benefit from having some experience with basic algebra and solving word problems. The course may be used to fulfill three credits of the quantification portion of the general education requirement for some majors, but does not serve as a prerequisite for any mathematics courses and should be treated as a terminal course. Class size, frequency of offering, and evaluation methods will vary by location and instructor. For these details check the specific course syllabus.",Bachelor of Arts: Quantification,,Quantification (GQ)
MATH 38,Elementary Linear Algebra,3 Credits,"Many problems we have to solve in day-to-day practice require the simultaneous determination of several different but interrelated unknowns. Although many problems of this form have been studied throughout the long history of mathematics, only in the early 20th century did the systematic approach we now refer to as linear algebra emerge. Matrices and linear algebra are now accepted as the single most essential tool need for the solution of these problems. In addition, linear algebra provides students their first introduction to the concept of dimension in an abstract setting where things with 4, 5, or even more dimensions are often encountered. In the simplest situations, many of these problems can be represented as A x = b, where x is our vector of unknowns, A is a matrix, and b is a vector of constants.MATH 38is intended for students requiring some understanding of the concepts of linear algebra for their major, but not requiring any calculus course work. Students who are also required to take calculus course work should instead takeMATH 220after completion of an appropriate prerequisite.",Prerequisite:2 units of high school mathematics,,Quantification (GQ)
MATH 41,Trigonometry and Analytic Geometry,4 Credits,"Topics covered include functions and their representations; distinguishing between types of functions; evaluating the average rate of change; graphs and rate of change; end behavior of graphs; modeling with polynomial and rational functions and discussing extrema; finding and interpreting the meaning of inverse functions; solving exponential and logarithmic equations; modeling with exponential and logarithmic functions; angles and their measures; right triangle trigonometry; all six trigonometric functions and their representations; modeling with sine and cosine; applications of trigonometric functions; simple harmonic motion and other applications of trigonometric functions; inverse trigonometric functions; solving trigonometric equations; verifying identities; law of sines and law of cosines; and further topics, such as elementary limits, as time permits.",MATH 21or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 81,Technical Mathematics I,3 Credits,"Math 81 is the first course in an applied mathematics sequence. The course includes a review of algebra, study of functions, study of systems of linear equations, and an introduction to trigonometry. It addresses the needs of engineering technology majors, and emphasizes technology and applications.",Prerequisite:MATH 004 or satisfactory performance on the mathematics placement   examination,,Quantification (GQ)
MATH 82,Technical Mathematics II,3 Credits,"Exponents, radicals, complex numbers, theory of equations, inequalities, half angle and double angle formulas, inverse trigonometric functions, exponential, logarithm, conic sections.",MATH 81,,Quantification (GQ)
MATH 83,Technical Calculus,4 Credits,"Math 83 is the third course in an applied mathematics sequence. Math 81; Math 82; Math 83; Math 210; Math 211. It addresses the needs of engineering technology majors, and emphasizes technology and applications. Math 83 is an introduction to differential and integral calculus, with some differential equations. Specific course topics include: limits: derivatives; implicit differentiation; related rates and extrema problems; curve sketching; numerical and symbolic integration; applications of differentiation; and differential equations.",MATH 82orMATH 41,,Quantification (GQ)
MATH 97,Special Topics,1-9 Credits/Maximum of 9,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",None,,
MATH 97N,Special Topics - InterDomain,1-9 Credits/Maximum of 9,Formal course given on a topical or special interest subject offered infrequently; several different topics may be taught in one year or semester. This Special Topics is an GenEd course.,General Education: Quantification (GQ),,Quantification (GQ)
MATH 102,Bridge to Calculus,3-4 Credits,"This summer course aims to provide incoming students with the tools needed to be successful wherever they place in the calculus sequence. Specific content is tailored to individual students, based on their existing skill set and expected entry point in the calculus sequence, but ranges from algebra and trigonometry to the real analysis which underlies calculus. The course emphasizes teamwork, communication skills, growth mindset, self-assessment (e.g., metacognition) and building a community of scholars. This is achieved through evidence-based, student-centered pedagogical practices such as collaborative and active learning, scaffolded instruction, extensive group work, metacognitive reflections, and exploratory projects and presentations.",None,,
MATH 110,Techniques of Calculus I,4 Credits,"Business Calculus is a critical component in the education of any business, financial, or economics professional who uses quantitative analysis. This course introduces and develops the mathematical skills required for analyzing change, and the underlying mathematical behaviors that model real-life economics and financial applications. The primary goal of our business calculus courses is to develop the students' knowledge of calculus techniques, and to use a calculus framework to develop critical thinking and problem solving skills. The concept of a limit of a function/model is central to differential calculus;MATH 110begins with a study of this concept, its geometric and analytical interpretation, and its use in the definition of the derivative. Differential calculus topics include: derivatives and their applications to rates of change, related rates, optimization, and graphing techniques. Target applications focus mainly on business applications, e.g. supply/demand models, elasticity, logistical growth, and marginal analysis within Cost, Revenue, and Profit models. Integral Calculus begins with the Fundamental Theorem of Calculus, integrating the fields of differential and integral calculus. Antidifferentiation techniques are used in applications focused on finding areas enclosed by functions, consumer and producer surplus, present and future values of income streams, annuities, and perpetuities, and the resolution of initial value problems within a business context. Students may only take one course for credit fromMATH 110,140, 140A,140B, and140H.",MATH 22or MATH 40 orMATH 41or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 111,Techniques of Calculus II,2 Credits,"MATH 111is the second course in a sequence of calculus content tailored primarily to first year business students with an emphasis on economics, business, social science, and/or ecology applications. Although it provides standalone instruction in the core elements of differential and integral calculus, applications are chosen to dovetail with typical models discussed in first year finance, economics, social science and/or ecology coursework.",MATH 110,,Quantification (GQ)
MATH 140,Calculus With Analytic Geometry I,4 Credits,"Calculus is an important building block in the education of any professional who uses quantitative analysis. This course introduces and develops the mathematical skills required for analyzing change and creating mathematical models that replicate real-life phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. The concept of limit is central to calculus;MATH 140begins with a study of this concept. Differential calculus topics include derivatives and their applications to rates of change, related rates, linearization, optimization, and graphing techniques. The Fundamental Theorem of Calculus, relating differential and integral calculus begins the study of Integral Calculus. Antidifferentiation and the technique of substitution is used in integration applications of finding areas of plane figures and volumes of solids of revolution. Trigonometric functions are included in every topic. Students may only take one course for credit fromMATH 110,140, 140A,140B, and140H.",Math 22 and Math 26 or Math 26 and satisfactory performance on the mathematics placement examination or Math 40 or Math 41 or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 140B,Calculus and Biology I,4 Credits,"Calculus is an important building block in the education of any professional who uses quantitative analysis. This course introduces and develops the mathematical skills required for analyzing change and creating mathematical models that replicate real-life phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. The concept of limit is central to calculus; this concept is studied early in the course. Differential calculus topics include derivatives and their applications to rates of change, related rates, linearization, optimization, and graphing techniques. The Fundamental Theorem of Calculus, relating differential and integral calculus begins the study of Integral Calculus. Antidifferentiation and the technique of substitution is used in integration applications of finding areas of plane figures and volumes of solids of revolution. Trigonometric functions are included in every topic. Students may only take one course for credit fromMATH 110,140, 140A,140B, and140H.",Math 22 and Math 26 or Math 26 and satisfactory performance on the mathematics placement examination or Math 40 or Math 41 or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 140E,Calculus with Engineering Applications I,4 Credits,"Calculus is an important building block in the education of any professional who uses quantitative analysis. This course introduces and develops the mathematical skills required for analyzing change and creating mathematical models that replicate real-life phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. The concept of limit is central to calculus;MATH 140Ebegins with a study of this concept. Differential calculus topics include derivatives and their applications to rates of change, related rates, linearization, optimization, and graphing techniques. The Fundamental Theorem of Calculus, relating differential and integral calculus begins the study of Integral Calculus. Antidifferentiation and the technique of substitution is used in integration applications of finding areas of plane figures and volumes of solids of revolution. Trigonometric functions are included in every topic.",Math 22 and Math 26 or Math 26 and satisfactory performance on the mathematics placement examination or Math 40 or Math 41 or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 140G,Calculus with Earth and Mineral Sciences Applications I,4 Credits,"This course is the first in a sequence of three calculus courses designed for students in the earth and mineral sciences and related fields. Topics include limits of functions, continuity; the definition of the derivative, various rules for computing derivatives (such as the product rule, quotient rule, and chain rule), implicit differentiation, higher-order derivatives, solving related rate problems, and applications of differentiation such as curve sketching, optimization problems, and Newton's method; the definition of the definite integral, computation of areas, the Fundamental Theorem of Calculus, integration by substitution, and various applications of integration such as computation of areas between two curves, volumes of solids, and work.",Math 22 and Math 26 or Math 26 and satisfactory performance on the mathematics placement examination or Math 40 or Math 41 or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 140H,Honors Calculus with Analytic Geometry I,4 Credits,"Calculus is an important building block in the education of any professional who uses quantitative analysis. This course introduces and develops the mathematical skills required for analyzing change and creating mathematical models that replicate real-life phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. The concept of limit is central to calculus;MATH 140begins with a study of this concept. Differential calculus topics include derivatives and their applications to rates of change, related rates, linearization, optimization, and graphing techniques. The Fundamental Theorem of Calculus, relating differential and integral calculus begins the study of Integral Calculus. Antidifferentiation and the technique of substitution is used in integration applications of finding areas of plane figures and volumes of solids of revolution. Trigonometric functions are included in every topic. Students may only take one course for credit fromMATH 110,140, 140A,140B, and140H.",Math 22 and Math 26 or Math 26 and satisfactory performance on the mathematics placement examination or Math 40 or Math 41 or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 141,Calculus with Analytic Geometry II,4 Credits,"MATH 141is the second course in a two- or three-course calculus sequence for students in science, engineering and related fields. Calculus is an important building block in the education of any professional who uses quantitative analysis. This course further introduces and develops the mathematical skills required for analyzing growth and change and creating mathematical models that replicate reallife phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. This course covers the following topics: logarithms, exponentials, and inverse trigonometric functions; applications of the definite integral and techniques of integration; sequences and series; power series and Taylor polynomials; parametric equations and polar functions. Students may take only one course for credit fromMATH 141,141B, and141H.",MATH 140or MATH 140A orMATH 140BorMATH 140EorMATH 140GorMATH 140H.,,Quantification (GQ)
MATH 141B,Calculus and Biology II,4 Credits,"Techniques of integration and applications to biology; elementary matrix theory, limits of matrices, Markov chains, applications to biology and the natural sciences; elementary and separable differential equations, linear rst-order differential equations, linear systems of differential equations, the Lotka-Volterra equations. Students may take only one course for credit fromMATH 141,141B, and141H.",MATH 140or MATH 140A orMATH 140BorMATH 140EorMATH 140GorMATH 140H.,,Quantification (GQ)
MATH 141E,Calculus with Engineering Applications II,4 Credits,"MATH 141Eis the second course in a two- or three-course calculus sequence for students in science, engineering and related fields. Calculus is an important building block in the education of any professional who uses quantitative analysis. This course further introduces and develops the mathematical skills required for analyzing growth and change and creating mathematical models that replicate reallife phenomena. The goals of our calculus courses include to develop the students' knowledge of calculus techniques and to use the calculus environment to develop critical thinking and problem solving skills. This course covers the following topics: logarithms, exponentials, and inverse trigonometric functions; applications of the definite integral and techniques of integration; sequences and series; power series and Taylor polynomials; parametric equations and polar functions.",MATH 140or MATH 140A orMATH 140BorMATH 140EorMATH 140GorMATH 140H.,,Quantification (GQ)
